stock_id,old_price,new_price,percentage_change,volume
1,1027.54,976.95,-4.92,93
2,1879.7,1856.82,-1.22,37
3,1681.82,1617.97,-3.8,58
4,845.21,884.29,4.62,68
5,2423.65,2428.27,0.19,61
6,1345.6,1336.16,-0.7,85
7,2455.75,2381.69,-3.02,8
8,769.33,788.54,2.5,48
9,2181.19,2246.05,2.97,5
10,1323.66,1267.68,-4.23,1
11,1335.87,1378.87,3.22,41
12,1462.99,1524.6,4.21,78
1,976.95,963.96,-1.33,29
2,1856.82,1883.23,1.42,84
3,1617.97,1684.31,4.1,26
4,884.29,921.81,4.24,85
5,2428.27,2529.19,4.16,10
6,1336.16,1283.56,-3.94,12
7,2381.69,2319.7,-2.6,72
8,788.54,764.48,-3.05,71
9,2246.05,2262.6,0.74,60
10,1267.68,1208.45,-4.67,22
11,1378.87,1366.27,-0.91,61
12,1524.6,1590.69,4.33,80
1,963.96,1008.69,4.64,30
2,1883.23,1865.59,-0.94,9
3,1684.31,1676.47,-0.47,18
4,921.81,955.25,3.63,52
5,2529.19,2613.23,3.32,4
6,1283.56,1303.59,1.56,22
7,2319.7,2295.97,-1.02,84
8,764.48,768.35,0.51,68
9,2262.6,2290.55,1.24,50
10,1208.45,1182.48,-2.15,6
11,1366.27,1312.12,-3.96,39
12,1590.69,1620.54,1.88,32
1,1008.69,989.73,-1.88,13
2,1865.59,1806.85,-3.15,82
3,1676.47,1622.69,-3.21,60
4,955.25,946.73,-0.89,69
5,2613.23,2589.39,-0.91,33
6,1303.59,1318.78,1.17,38
7,2295.97,2317.75,0.95,12
8,768.35,747.31,-2.74,32
9,2290.55,2298.87,0.36,77
10,1182.48,1225.35,3.63,71
11,1312.12,1282.42,-2.26,69
12,1620.54,1616.67,-0.24,63
1,989.73,1009.78,2.03,41
2,1806.85,1717.39,-4.95,43
3,1622.69,1642.61,1.23,72
4,946.73,927.29,-2.05,76
5,2589.39,2535.81,-2.07,27
6,1318.78,1296.59,-1.68,29
7,2317.75,2357.31,1.71,15
8,747.31,769.95,3.03,97
9,2298.87,2379.91,3.53,33
10,1225.35,1279.48,4.42,82
11,1282.42,1232.87,-3.86,45
12,1616.67,1690.13,4.54,95
1,1009.78,961.02,-4.83,53
2,1717.39,1766.48,2.86,47
3,1642.61,1606.57,-2.19,79
4,927.29,932.75,0.59,76
5,2535.81,2471.04,-2.55,9
6,1296.59,1341.38,3.45,54
7,2357.31,2279.49,-3.3,36
8,769.95,804.35,4.47,24
9,2379.91,2416.83,1.55,93
10,1279.48,1249.29,-2.36,72
11,1232.87,1291.72,4.77,54
12,1690.13,1611.05,-4.68,10
1,961.02,1006.24,4.71,3
2,1766.48,1692.66,-4.18,21
3,1606.57,1570.1,-2.27,75
4,932.75,903.64,-3.12,58
5,2471.04,2474.64,0.15,94
6,1341.38,1355.25,1.03,58
7,2279.49,2334.31,2.4,56
8,804.35,768.24,-4.49,14
9,2416.83,2473.94,2.36,7
10,1249.29,1197.08,-4.18,78
11,1291.72,1298.03,0.49,50
12,1611.05,1538.35,-4.51,17
1,1006.24,996.08,-1.01,92
2,1692.66,1671.65,-1.24,50
3,1570.1,1499.46,-4.5,57
4,903.64,904.49,0.09,83
5,2474.64,2369.3,-4.26,64
6,1355.25,1309.27,-3.39,19
7,2334.31,2377.92,1.87,39
8,768.24,759.99,-1.07,19
9,2473.94,2355.13,-4.8,57
10,1197.08,1249.07,4.34,73
11,1298.03,1294.7,-0.26,98
12,1538.35,1588.88,3.29,62
1,996.08,1015.69,1.97,21
2,1671.65,1628.09,-2.61,90
3,1499.46,1514.98,1.04,8
4,904.49,872.02,-3.59,49
5,2369.3,2401.74,1.37,13
6,1309.27,1316.7,0.57,58
7,2377.92,2458.06,3.37,63
8,759.99,740.51,-2.56,85
9,2355.13,2331.57,-1,28
10,1249.07,1235.84,-1.06,91
11,1294.7,1301.24,0.5,62
12,1588.88,1610.6,1.37,64
1,1015.69,1052.39,3.61,67
2,1628.09,1655.21,1.67,59
3,1514.98,1552.03,2.45,57
4,872.02,888.36,1.87,19
5,2401.74,2448.84,1.96,3
6,1316.7,1291.3,-1.93,48
7,2458.06,2550.14,3.75,15
8,740.51,712.74,-3.75,7
9,2331.57,2236.71,-4.07,91
10,1235.84,1270.38,2.79,7
11,1301.24,1334.94,2.59,68
12,1610.6,1542.38,-4.24,77
1,1052.39,1098.18,4.35,40
2,1655.21,1645.7,-0.57,30
3,1552.03,1527.64,-1.57,71
4,888.36,897.9,1.07,39
5,2448.84,2352.74,-3.92,78
6,1291.3,1328.87,2.91,98
7,2550.14,2666.78,4.57,29
8,712.74,679.47,-4.67,66
9,2236.71,2310.02,3.28,70
10,1270.38,1279.22,0.7,1
11,1334.94,1357.8,1.71,5
12,1542.38,1611.99,4.51,1
1,1098.18,1095.73,-0.22,18
2,1645.7,1578.65,-4.07,8
3,1527.64,1541.58,0.91,16
4,897.9,862.21,-3.97,13
5,2352.74,2449.98,4.13,45
6,1328.87,1394.04,4.9,55
7,2666.78,2562.76,-3.9,40
8,679.47,713.19,4.96,41
9,2310.02,2362.16,2.26,38
10,1279.22,1286.88,0.6,22
11,1357.8,1327.63,-2.22,85
12,1611.99,1633.79,1.35,88
1,1095.73,1101.02,0.48,39
2,1578.65,1566.76,-0.75,7
3,1541.58,1465.8,-4.92,61
4,862.21,843.72,-2.14,65
5,2449.98,2450.87,0.04,26
6,1394.04,1431.81,2.71,64
7,2562.76,2494.57,-2.66,29
8,713.19,693.46,-2.77,35
9,2362.16,2273.92,-3.74,1
10,1286.88,1328.68,3.25,46
11,1327.63,1373.59,3.46,96
12,1633.79,1563.24,-4.32,84
1,1101.02,1069.67,-2.85,49
